name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23abomtge,SN2023wob,04:42:33.10,-15:16:40.2,2288.76,r,18.6788,-17.58,>72.958,34.028,>38.93,SN IIn,0.036,-35.30428722,0.35
ZTF23aboywdj,SN2023wtz,04:16:23.81,-06:31:14.3,2259.86,g,18.5238,-17.96,>29.602,>6.05,23.552,SN II,0.042,-37.25522531,0.155
ZTF23abphqjk,SN2023xgn,03:02:48.82,-15:42:21.6,2259.84,r,18.535,-17.23,>26.963,>2.07,24.893,SN II,0.031,-57.48411464,0.155
ZTF23abpqklj,SN2023xjs,02:26:34.56,-19:10:26.4,2288.71,r,18.4532,-19.04,49.576,30.082,19.494,SN Ia,0.07,-66.77801718,0.079
ZTF23abprqjx,SN2023xid,02:11:12.58,-14:52:33.7,2287.65,r,18.6189,-19.05,>48.568,>29.79,18.778,SN Ia,0.076,-67.7653321,0.071
ZTF23abpuxjl,SN2023xim,23:53:59.98,-22:33:51.2,2262.71,g,18.2708,-18.92,15.516,3.633,11.883,SN Ia,0.061,-76.20448615,0.059
ZTF23abqfuwf,SN2023xnl,09:26:29.68,-14:31:43.5,2262.0,r,16.9184,-17.52,>28.977,>2.03,26.947,SN Ia,0.01696,25.15222913,0.148
ZTF23abqqixn,SN2023xtg,01:49:05.59,-14:59:12.5,2268.69,r,16.2066,-18.36,>33.18,>0,>33.18,SN Ia,0.01868,-71.91010086,0.046
ZTF23abrhwtt,SN2023xuz,21:48:16.23,-02:04:08.9,2284.65,r,18.1884,-18.61,>26.99,21,>5.99,SN Ia,0.05,-39.54003467,0.143
ZTF23abrvgfi,SN2023yjn,00:40:30.72,-07:44:53.0,2287.63,g,18.0574,-19.05,>4.06,>0,>4.06,SN Ia,0.057,-70.44750728,0.117
ZTF23abrzxeb,SN2023yyx,01:52:48.36,-22:44:35.1,2288.78,g,18.7804,-16.91,>6.02,>4.06,>1.96,SN II,0.031,-75.42580314,0.045
ZTF23absapsv,SN2023zef,00:06:10.89,-11:07:10.4,2289.63,r,18.5584,-19.37,>6.05,>4.01,>2.04,SN Ia,0.085,-70.77780774,0.093
ZTF23abscvhv,SN2023yzv,05:21:21.45,-15:32:29.0,2287.77,r,16.6561,-16.98,>15.083,>0.04,>15.043,SN II,0.01126,-26.78108022,0.249
ZTF23absdcgi,SN2023zcu,06:01:06.82,-23:40:29.3,2295.83,r,15.5289,-16.60,>69.9,>8.01,>61.89,SN II,0.006,-21.13950084,0.093
ZTF23absdibx,SN2023zjw,07:45:58.82,-03:16:44.6,2322.76,r,18.8643,-17.86,>75.021,>34.94,40.081,SN IIn,0.047,10.56704073,0.21
ZTF23absephc,SN2023yul,00:50:10.96,-03:53:51.9,2289.67,g,18.0052,-19.68,>24.224,>2.01,22.214,SN Ia,0.073,-66.76754935,0.137
ZTF23absflyh,SN2023yti,02:06:22.20,-18:19:06.1,2295.64,g,18.508,-19.56,>19.97,>7.95,>12.02,SN Ia,0.09,-70.63823865,0.073
ZTF23absgcqv,SN2023zem,05:26:50.64,-15:54:52.2,2295.69,g,17.8111,-19.42,>26.986,>7.96,19.026,SN Ic,0.057,-25.7102383,0.212
ZTF23absirul,SN2023ylz,10:06:20.93,-06:15:22.2,2315.84,r,18.1531,-16.47,>69.93,>27.94,>41.99,SN IIP,0.0188,37.96832706,0.1
ZTF23absizez,SN2023zjz,11:08:52.71,-06:20:38.9,2297.0,g,17.0681,-19.49,>21.41,>9.06,12.35,SN Ia-91T,0.044,48.33563478,0.127
ZTF23absjgik,SN2023xqm,10:34:35.00,-27:39:03.3,2288.0,g,15.2446,-18.19,>20.958,>0,>20.958,SN Ia,0.01,26.12327024,0.224
ZTF23abtlnrc,SN2023aaiy,09:21:07.84,-10:45:19.1,2306.92,g,18.1197,-18.96,17.75,7.807,9.943,SN Ia,0.0545,26.50318375,0.174
ZTF23abtniaf,SN2023zvq,14:24:20.05,-03:41:51.6,2291.05,r,14.1267,-19.58,>17.551,>0,>17.551,SN Ia,0.012,51.88397588,0.175
ZTF23abtowce,SN2023aakh,01:57:18.57,-03:22:34.1,2307.63,g,18.313,-19.44,>13.77,>1.96,11.81,SN Ia,0.078,-61.50414799,0.075
ZTF23abvbwys,SN2023aajn,03:41:33.85,-02:46:50.0,2308.63,g,16.8974,-20.05,19.988,5.845,14.143,SN Ia-91T,0.049,-42.62401882,0.258
ZTF23abvdonl,SN2023aaih,08:30:55.69,-03:51:50.7,2314.91,g,17.3799,-19.02,15.866,5.765,10.101,SN Ia,0.04144,20.04452415,0.106
ZTF23abvoqio,SN2024B,02:53:17.12,-14:34:42.2,2314.71,g,18.7204,-18.98,>20.06,>7.06,>13,SN Ia,0.075,-59.00530358,0.104
ZTF23abvoynt,SN2023acci,05:07:32.07,-19:22:50.5,2323.73,g,17.9867,-18.85,33.722,13.982,19.74,SN Ia,0.05,-31.2674888,0.129
ZTF24aaaenwq,SN2023acgf,03:46:22.67,-03:57:56.0,2326.75,r,15.996,-17.98,18.788,10.855,7.933,SN Ia,0.01296,-42.30299327,0.294
ZTF24aaagezy,SN2024hj,05:57:47.96,-06:27:40.3,2326.73,r,18.3057,-19.37,31.813,9.456,22.357,SN Ia,0.05,-14.85661428,1.191
ZTF24aaahxph,SN2024iy,09:59:19.95,-03:21:17.0,2325.94,r,18.8624,-18.59,>13.08,>11.03,>2.05,SN Ia,0.068,38.52223851,0.117
ZTF24aaaimkm,SN2023aase,11:32:22.08,-03:19:20.4,2314.89,g,18.4089,-21.49,>23.86,>0,>23.86,SLSN-I,0.2,54.0675773,0.115
ZTF24aaaisri,SN2024hg,09:21:47.91,-03:53:33.5,2324.88,g,17.6227,-19.58,25.297,9.73,15.567,SN Ia,0.06,30.70995379,0.1
ZTF24aabuaij,SN2024tv,08:24:34.56,-22:58:10.8,2323.89,r,18.1412,-18.74,>12.617,>0,>12.617,SN Ic-BL,0.048,8.39347838,0.346
ZTF24aabvtdh,SN2024yq,14:07:51.45,-10:03:42.0,2327.0,g,17.2934,-19.06,>15.8,>2.01,13.79,SN Ia,0.04,48.44937212,0.135
