observations
ZTF18aamvfeb has a peak observation at 1733.8
ZTF18aamxads has a peak observation at 1352.7
ZTF18aamzgzi has a peak observation at 1971.95
ZTF18aangpkx has a peak observation at 985.92
ZTF18aanhpii has a peak observation at 1776.83
ZTF18aanjzkp has a peak observation at 1638.03
ZTF18aankxqv has a peak observation at 2056.92
ZTF18aanlyba has a peak observation at 1601.03
ZTF18aannern has a peak observation at 1261.0
ZTF18aansqom has a peak observation at 1309.99
ZTF18aansqov has a peak observation at 1372.82
ZTF18aansqun has a peak observation at 308.74
ZTF18aanxlcr has a peak observation at 2042.93
ZTF18aanygjk has a peak observation at 653.87
ZTF18aaotzhu has a peak observation at 242.83
ZTF18aaoufjt has a peak observation at 635.76
ZTF18aaovbiy has a peak observation at 242.84
ZTF18aaoxrup has a peak observation at 956.88
ZTF18aapgrxo has a peak observation at 284.89
ZTF18aaphzut has a peak observation at 245.67
ZTF18aapictz has a peak observation at 254.69
ZTF18aapifti has a peak observation at 276.7
ZTF18aaqcqvr has a peak observation at 257.78
ZTF18aaqcugm has a peak observation at 255.73
ZTF18aaqedfj has a peak observation at 242.77
ZTF18aaqehoc has a peak observation at 255.78
ZTF18aaqfqaa has a peak observation at 255.78
ZTF18aaqfziz has a peak observation at 248.8
ZTF18aaqgadq has a peak observation at 255.77
ZTF18aaqgbju has a peak observation at 242.84
ZTF18aaqjhqz has a peak observation at 254.67
ZTF18aaqjovh has a peak observation at 248.74
ZTF18aaqjqqc has a peak observation at 2036.92
ZTF18aaqkcso has a peak observation at 628.73
ZTF18aaqkdwu has a peak observation at 612.76
ZTF18aaqkjuw has a peak observation at 430.01
ZTF18aaqkoyr has a peak observation at 266.75
ZTF18aaqkqxi has a peak observation at 248.74
ZTF18aaqldvl has a peak observation at 1722.8
ZTF18aaqnxjb has a peak observation at 1393.74
ZTF18aaqpeoq has a peak observation at 1713.93
ZTF18aaqpjja has a peak observation at 247.72
ZTF18aaqpkvx has a peak observation at 247.72
ZTF18aaqqhis has a peak observation at 257.72
ZTF18aaqqoqs has a peak observation at 261.74
ZTF18aaqskoy has a peak observation at 255.92
ZTF18aaqvuhl has a peak observation at 832.07
ZTF18aaqydat has a peak observation at 1382.83
ZTF18aarasof has a peak observation at 269.9
ZTF18aarbaba has a peak observation at 1025.87
ZTF18aarbgdn has a peak observation at 245.65
ZTF18aarbify has a peak observation at 248.66
ZTF18aarcygc has a peak observation at 248.66
ZTF18aarcypa has a peak observation at 257.71
ZTF18aarikzk has a peak observation at 964.86
ZTF18aaripcr has a peak observation at 258.75
ZTF18aarlpzd has a peak observation at 954.71
ZTF18aarlukc has a peak observation at 643.7
ZTF18aarmnnd has a peak observation at 2098.8
ZTF18aarnbhk has a peak observation at 1890.0
ZTF18aaroihe has a peak observation at 260.68
ZTF18aartimj has a peak observation at 270.82
ZTF18aartjmf has a peak observation at 328.67
ZTF18aarunub has a peak observation at 775.6
ZTF18aarwxum has a peak observation at 693.76
ZTF18aarxzmv has a peak observation at 262.77
ZTF18aasdted has a peak observation at 266.82
ZTF18aaslhxt has a peak observation at 261.94
ZTF18aasprui has a peak observation at 346.66
ZTF18aasufva has a peak observation at 292.74
ZTF18aasxvsg has a peak observation at 266.77
ZTF18aasxwhv has a peak observation at 1453.67
ZTF18aasycak has a peak observation at 1428.73
ZTF18aasycpd has a peak observation at 270.8
ZTF18aasyjhd has a peak observation at 1773.83
ZTF18aasypqx has a peak observation at 1641.92
ZTF18aaszvfn has a peak observation at 1313.77
ZTF18aataafd has a peak observation at 262.77
ZTF18aatezaj has a peak observation at 1309.89
ZTF18aatfujv has a peak observation at 1622.99
ZTF18aatgdph has a peak observation at 1270.91
ZTF18aatiffa has a peak observation at 2016.88
ZTF18aatiudp has a peak observation at 2084.84
ZTF18aatjfoe has a peak observation at 1325.87
ZTF18aatjlhe has a peak observation at 441.05
ZTF18aatlfus has a peak observation at 252.92
ZTF18aatmlsy has a peak observation at 1685.85
ZTF18aatpqxq has a peak observation at 1846.73
ZTF18aatrkga has a peak observation at 1088.67
ZTF18aatrllk has a peak observation at 1251.04
ZTF18aatyqds has a peak observation at 269.9
ZTF18aatzygk has a peak observation at 261.75
ZTF18aauenwu has a peak observation at 258.97
ZTF18aauhxce has a peak observation at 269.76
ZTF18aauizcr has a peak observation at 269.68
ZTF18aaumeys has a peak observation at 266.7
ZTF18aaunfqq has a peak observation at 269.77
ZTF18aaupmks has a peak observation at 261.96
ZTF18aauqdyb has a peak observation at 266.84
ZTF18aauuzmf has a peak observation at 2029.88
ZTF18aauvmnq has a peak observation at 1417.68
ZTF18aauvnhh has a peak observation at 267.81
ZTF18aauworo has a peak observation at 273.83
ZTF18aauxltf has a peak observation at 258.75
ZTF18aauxzle has a peak observation at 262.81
ZTF18aavdwmh has a peak observation at 1280.91
ZTF18aavjcpf has a peak observation at 305.68
ZTF18aavjnfx has a peak observation at 261.81
ZTF18aavnvmp has a peak observation at 267.7
ZTF18aavnxar has a peak observation at 269.75
ZTF18aavqdyq has a peak observation at 343.83
ZTF18aavrmcg has a peak observation at 260.68
ZTF18aavrmlf has a peak observation at 891.02
ZTF18aavrwhu has a peak observation at 276.75
ZTF18aavryhc has a peak observation at 1923.97
ZTF18aavrzxp has a peak observation at 269.76
ZTF18aavsilo has a peak observation at 969.81
ZTF18aavskep has a peak observation at 288.75
ZTF18aavuzhe has a peak observation at 2114.85
ZTF18aavvnzu has a peak observation at 1334.95
ZTF18aawczad has a peak observation at 269.75
ZTF18aawdpnm has a peak observation at 276.69
ZTF18aawgrxz has a peak observation at 1402.73
ZTF18aawitoj has a peak observation at 1993.97
ZTF18aawitry has a peak observation at 1510.72
ZTF18aawjywv has a peak observation at 272.89
ZTF18aawlfnj has a peak observation at 2153.76
ZTF18aawlxls has a peak observation at 1802.77
ZTF18aawmeiw has a peak observation at 1867.66
ZTF18aawmxdx has a peak observation at 467.98
ZTF18aawpbgm has a peak observation at 2315.03
ZTF18aawpcel has a peak observation at 279.72
ZTF18aawpwlf has a peak observation at 970.71
ZTF18aawseij has a peak observation at 2153.77
ZTF18aawurud has a peak observation at 332.81
ZTF18aawxlxf has a peak observation at 276.74
ZTF18aawyjjq has a peak observation at 272.88
ZTF18aawzens has a peak observation at 1797.75
ZTF18aaxavsk has a peak observation at 278.87
ZTF18aaxcfbt has a peak observation at 279.68
ZTF18aaxcntm has a peak observation at 278.85
ZTF18aaxcxih has a peak observation at 278.88
ZTF18aaxdrjn has a peak observation at 279.7
ZTF18aaxeoqk has a peak observation at 2060.88
ZTF18aaxgwpl has a peak observation at 1849.63
ZTF18aaxiuyp has a peak observation at 281.71
ZTF18aaxjuwy has a peak observation at 293.74
ZTF18aaxkfos has a peak observation at 279.7
ZTF18aaxkjmm has a peak observation at 278.77
ZTF18aaxkqgy has a peak observation at 275.88
ZTF18aaxmhvk has a peak observation at 290.83
ZTF18aaxmixe has a peak observation at 270.8
